index,Player,Pos.,Team,Age,Arb Year,Yrs,Dollars,Type,Season
105,Franchy Cordero,1B,BOS,27,Arb 2,1,"$825,000",Avoided,2022
106,Austin Voth,SP,BAL,30,Super-2-1,1,"$875,000",Avoided,2022
107,Ryan Borucki,RP,SEA,28,Arb 1,1,"$850,000",Avoided,2022
108,Rob Refsnyder,RF,BOS,31,Arb 1,1,"$800,000",,2022
109,Jorge Lopez,RP,MIN,29,Arb 1,1,"$1,500,000",Avoided,2022
110,Brett Phillips,CF,BAL,28,Arb 1,1,"$1,400,000",Avoided,2022
111,Trent Thornton,RP,TOR,28,Super-2-1,1,"$706,200",,2022
112,Bradley Zimmer,CF,TOR,29,Arb 1,1,"$1,300,000",Avoided,2022
113,Miguel Andujar,3B,PIT,27,Arb 1,1,"$1,300,000",Avoided,2022
114,Elieser Hernandez,RP,MIA,27,Arb 1,1,"$1,325,000",Avoided,2022
115,Dylan Moore,2B,SEA,29,Arb 1,1,"$1,350,000",Avoided,2022
