Player,Team,Service,Season,Extension,Non-Tendered,Outrighted,Next Year Salary,first_name,last_name,Source
Jason Vargas,Mariners,3.114,2010,False,False,False,2450000.0,Jason,Vargas,MLBTR
Jason Bartlett,Padres,5.086,2010,True,False,False,,Jason,Bartlett,MLBTR
Jason Hammel,Rockies,3.153,2010,True,False,False,,Jason,Hammel,MLBTR
Jason Repko,Twins,3.168,2010,False,False,False,600000.0,Jason,Repko,MLBTR
Javier Lopez,Giants,5.167,2010,False,False,False,2375000.0,Javier,Lopez,MLBTR
Jay Bruce,Reds,2.125,2010,True,False,False,,Jay,Bruce,MLBTR
Jeff Mathis,Angels,4.012,2010,False,False,False,1700000.0,Jeff,Mathis,MLBTR
Jeff Keppinger,Astros,4.052,2010,False,False,False,2300000.0,Jeff,Keppinger,MLBTR
Jeff Baker,Cubs,4.049,2010,False,False,False,1175000.0,Jeff,Baker,MLBTR
Jeff Karstens,Pirates,3.132,2010,False,False,False,1100000.0,Jeff,Karstens,MLBTR
Jensen Lewis,Indians,2.133,2010,False,False,False,650000.0,Jensen,Lewis,MLBTR
Jered Weaver ,Angels,4.129,2010,False,False,False,7365000.0,Jered,Weaver ,MLBTR
Jeremy Guthrie,Orioles,4.13,2010,False,False,False,5750000.0,Jeremy,Guthrie,MLBTR
Jesse Litsch,Blue Jays,3.098,2010,False,False,False,830000.0,Jesse,Litsch,MLBTR
Jesus Flores,Nationals,3.158,2010,False,False,False,750000.0,Jesus,Flores,MLBTR
Jim Johnson,Orioles,2.165,2010,False,False,False,975000.0,Jim,Johnson,MLBTR
Joba Chamberlain,Yankees,3.055,2010,False,False,False,1400000.0,Joba,Chamberlain,MLBTR
Joe Saunders,Diamondbacks,4.013,2010,False,False,False,5500000.0,Joe,Saunders,MLBTR
Joe Smith,Indians,3.091,2010,False,False,False,870000.0,Joe,Smith,MLBTR
Joel Hanrahan,Pirates,3.065,2010,False,False,False,1400000.0,Joel,Hanrahan,MLBTR
Joel Zumaya,Tigers,5.0,2010,False,False,False,1400000.0,Joel,Zumaya,MLBTR
Joey Devine,Athletics,3.171,2010,False,False,False,560000.0,Joey,Devine,MLBTR
Joey Votto,Reds,3.027,2010,True,False,False,,Joey,Votto,MLBTR
John Lannan,Nationals,3.011,2010,False,False,False,2750000.0,John,Lannan,MLBTR
John Danks,White Sox,4.0,2010,False,False,False,6000000.0,John,Danks,MLBTR
Johnny Cueto,Reds,3.0,2010,True,False,False,,Johnny,Cueto,MLBTR
Jonathan Sanchez,Giants,4.071,2010,False,False,False,4800000.0,Jonathan,Sanchez,MLBTR
Jonathan Papelbon,Red Sox,5.064,2010,False,False,False,12000000.0,Jonathan,Papelbon,MLBTR
Jose Bautista,Blue Jays,5.165,2010,True,False,False,,Jose,Bautista,MLBTR
Jose Lopez,Rockies,5.14,2010,False,False,False,3600000.0,Jose,Lopez,MLBTR
Josh Willingham,Athletics,5.123,2010,False,False,False,6000000.0,Josh,Willingham,MLBTR
Josh Wilson,Mariners,3.047,2010,False,False,False,725000.0,Josh,Wilson,MLBTR
Josh Hamilton,Rangers,4.0,2010,True,False,False,,Josh,Hamilton,MLBTR
Kameron Loe,Brewers,3.133,2010,False,False,False,1250000.0,Kameron,Loe,MLBTR
Kelly Johnson,Diamondbacks,5.127,2010,False,False,False,5850000.0,Kelly,Johnson,MLBTR
Kendrys Morales,Angels,3.057,2010,False,False,False,2975000.0,Kendrys,Morales,MLBTR
Kevin Kouzmanoff,Athletics,4.03,2010,False,False,False,4750000.0,Kevin,Kouzmanoff,MLBTR
Kevin Slowey,Twins,3.063,2010,False,False,False,2700000.0,Kevin,Slowey,MLBTR
Koyie Hill,Cubs,4.006,2010,False,False,False,850000.0,Koyie,Hill,MLBTR
Kyle McClellan,Cardinals,3.0,2010,False,False,False,1375000.0,Kyle,McClellan,MLBTR
Kyle Kendrick,Phillies,2.159,2010,False,False,False,2450000.0,Kyle,Kendrick,MLBTR
Kyle Davies,Royals,5.012,2010,False,False,False,3200000.0,Kyle,Davies,MLBTR
Leo Nunez,Marlins,4.108,2010,False,False,False,3650000.0,Leo,Nunez,MLBTR
Luke Scott,Orioles,4.144,2010,False,False,False,6400000.0,Luke,Scott,MLBTR
