Player,Season,MLS,Year Salary,Next Year Salary,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,playerid,first_name,last_name,Position
"Grichuk, Randal",2018,3.033,557200.0,2800000.0,,,,,,,,,,,,,,,,,,,,,,,Randal,Grichuk,rf
"Bradley Jr., Jackie",2018,3.15,3600000.0,6100000.0,,,,,,,,,,,,,,,,,,,,,,,Jackie,Bradley Jr.,rf
"Chisenhall, Lonnie",2018,5.158,4300000.0,5587500.0,,,,,,,,,,,,,,,,,,,,,,,Lonnie,Chisenhall,rf
"Adrianza, Ehire",2018,3.131,600000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,Ehire,Adrianza,2b-ss
"Garcia, Leury",2018,3.025,546500.0,1175000.0,,,,,,,,,,,,,,,,,,,,,,,Leury,Garcia,cf-2b
"Hamilton, Billy",2018,4.028,2625000.0,4600000.0,,,,,,,,,,,,,,,,,,,,,,,Billy,Hamilton,cf
"Castellanos, Nicholas",2018,4.029,3000000.0,6050000.0,,,,,,,,,,,,,,,,,,,,,,,Nicholas,Castellanos,3b
"Marisnick, Jake",2018,3.145,1100000.0,1900000.0,,,,,,,,,,,,,,,,,,,,,,,Jake,Marisnick,cf
"Escobar, Eduardo",2018,5.128,2600000.0,4850000.0,,,,,,,,,,,,,,,,,,,,,,,Eduardo,Escobar,ss
"La Stella, Tommy",2018,3.057,573500.0,950000.0,,,,,,,,,,,,,,,,,,,,,,,Tommy,La Stella,2b-3b
"Szczur, Matt",2018,2.134,549500.0,950000.0,,,,,,,,,,,,,,,,,,,,,,,Matt,Szczur,of
"Carrera, Ezequiel",2018,4.039,1162500.0,1900000.0,,,,,,,,,,,,,,,,,,,,,,,Ezequiel,Carrera,of
"Gattis, Evan",2018,5.0,5200000.0,6700000.0,,,,,,,,,,,,,,,,,,,,,,,Evan,Gattis,dh-c
"Villar, Jonathan",2018,3.113,554500.0,2550000.0,,,,,,,,,,,,,,,,,,,,,,,Jonathan,Villar,2b
"Hechavarria, Adeiny",2018,5.06,4350000.0,5900000.0,,,,,,,,,,,,,,,,,,,,,,,Adeiny,Hechavarria,ss
"Sucre, Jesus",2018,3.137,630000.0,925000.0,,,,,,,,,,,,,,,,,,,,,,,Jesus,Sucre,c
"Miller, Brad",2018,4.094,3575000.0,4500000.0,,,,,,,,,,,,,,,,,,,,,,,Brad,Miller,2b
"Cron, C.J.",2018,3.097,565000.0,2300000.0,,,,,,,,,,,,,,,,,,,,,,,C.J.,Cron,1b-dh
"Pederson, Joc",2018,3.023,555000.0,2600000.0,,,,,,,,,,,,,,,,,,,,,,,Joc,Pederson,cf
"Ahmed, Nick",2018,3.054,566000.0,1275000.0,,,,,,,,,,,,,,,,,,,,,,,Nick,Ahmed,ss
"Mercer, Jordy",2018,5.095,4325000.0,6750000.0,,,,,,,,,,,,,,,,,,,,,,,Jordy,Mercer,ss
"Rupp, Cameron",2018,3.089,565000.0,2050000.0,,,,,,,,,,,,,,,,,,,,,,,Cameron,Rupp,c
"Grossman, Robbie",2018,3.06,552500.0,2000000.0,,,,,,,,,,,,,,,,,,,,,,,Robbie,Grossman,lf
"Leon, Sandy",2018,3.149,1300000.0,1950000.0,,,,,,,,,,,,,,,,,,,,,,,Sandy,Leon,c
"Pillar, Kevin",2018,3.113,555000.0,3250000.0,,,,,,,,,,,,,,,,,,,,,,,Kevin,Pillar,of
