Player,Year,Team,Position,Service,Next Year Salary,Source,Extension,Non-Tendered,Outrighted,first_name,last_name
Rafael Oretga,2024,NYN,lf,3.035,,Cots,False,False,True,Rafael,Oretga
Touki Toussaint,2024,CHA,rhp,3.071,,Cots,False,,,Touki,Toussaint
Cole Sulser,2024,TBA,rhp,3.157,,Cots,False,,,Cole,Sulser
Tanner Rainey,2024,WAS,rhp,4.127,,Cots,False,,,Tanner,Rainey
Brett Phillips,2024,ANA,of,4.06,,Cots,False,,,Brett,Phillips
Harold Castro,2024,COL,3b,4.141,,Cots,False,,,Harold,Castro
Sam Coonrod,2024,NYN,rhp,4.078,,Cots,False,True,False,Sam,Coonrod
Garrett Crochet,2024,CHA,lhp,3.028,,Cots,False,,,Garrett,Crochet
Clint Frazier,2024,CHA,of,4.092,,Cots,False,,,Clint,Frazier
Nick Burdi,2024,CHN,rhp,3.14,,Cots,False,False,True,Nick,Burdi
Austin Wynns,2024,COL,c,3.09,,Cots,False,,,Austin,Wynns
Michael Pérez,2024,NYN,c,3.095,,Cots,False,False,True,Michael,Pérez
Rowdy Tellez,2024,MIL,1b,5.004,,Cots,False,True,False,Rowdy,Tellez
Joey Lucchesi,2024,NYN,lhp-s,4.112,,Cots,False,,,Joey,Lucchesi
Nestor Cortes,2024,NYA,lhp-s,4.094,,Cots,False,,,Nestor,Cortes
Garrett Hampson,2024,MIA,2b-ss,5.01,,Cots,False,True,False,Garrett,Hampson
Tim Locastro,2024,NYN,2b-of,4.122,,Cots,False,False,True,Tim,Locastro
Jake Bauers,2024,MIL,1b,3.084,,Cots,False,,,Jake,Bauers
Jared Walsh,2024,ANA,1b,3.114,,Cots,False,,,Jared,Walsh
Kyle Lewis,2024,ARI,of,3.067,,Cots,False,True,False,Kyle,Lewis
Danny Mendick,2024,NYN,ss,3.058,,Cots,False,False,True,Danny,Mendick
Drew Rucinski,2024,OAK,rhp,1.162,,Cots,False,,,Drew,Rucinski
Jonathan Davis,2024,MIA,cf,3.035,,Cots,False,False,True,Jonathan,Davis
Andrew Velazquez,2024,ATL,ss-3b,3.033,,Cots,False,False,True,Andrew,Velazquez
Luis Torrens,2024,SEA,c,3.155,,Cots,False,False,True,Luis,Torrens
Austin Gomber,2024,COL,lhp,4.111,,Cots,False,,,Austin,Gomber
Alex Kirilloff,2024,MIN,1b,2.141,,Cots,False,,,Alex,Kirilloff
Chad Wallach,2024,ANA,c,4.018,,Cots,False,,,Chad,Wallach
John Means,2024,BAL,lhp-s,5.007,,Cots,False,,,John,Means
Michael Chavis,2024,WAS,3b,4.089,,Cots,False,False,True,Michael,Chavis
Carson Kelly,2024,DET,c,5.161,,Cots,False,,,Carson,Kelly
Sam Hilliard,2024,BAL,rf,3.094,,Cots,False,,,Sam,Hilliard
Trayce Thompson,2024,CHA,of,4.01,,Cots,False,,,Trayce,Thompson
Michael Kopech,2024,CHA,rhp-s,4.041,,Cots,False,,,Michael,Kopech
José Suarez,2024,ANA,lhp-s,3.084,,Cots,False,,,José,Suarez
Carlos Perez,2024,OAK,c,3.167,,Cots,False,,,Carlos,Perez
Garrett Stubbs,2024,PHI,c,3.12,,Cots,False,,,Garrett,Stubbs
J.D. Davis,2024,SFN,3b,5.137,,Cots,False,,,J.D.,Davis
Ty Blach,2024,COL,lhp-s,3.135,,Cots,False,False,True,Ty,Blach
Eric Lauer,2024,MIL,lhp-s,4.111,,Cots,False,False,True,Eric,Lauer
Cal Quantrill,2024,COL,rhp-s,4.132,,Cots,False,,,Cal,Quantrill
Tyler Stephenson,2024,CIN,c,3.056,,Cots,False,,,Tyler,Stephenson
Walker Buehler,2024,LAN,rhp,5.168,,Cots,False,,,Walker,Buehler
Lou Trivino,2024,NYA,rhp,5.163,,Cots,False,True,False,Lou,Trivino
JT Brubaker,2024,PIT,rhp,4.0,,Cots,False,,,JT,Brubaker
Dillon Tate,2024,BAL,rhp,4.048,,Cots,False,,,Dillon,Tate
Huascar Ynoa,2024,ATL,rhp,3.011,,Cots,False,,,Huascar,Ynoa
Gavin Lux,2024,LAN,ss,3.114,,Cots,False,,,Gavin,Lux
Brett Martin,2024,TEX,lhp,4.151,,Cots,False,True,False,Brett,Martin
Anthony Bender,2024,MIA,rhp,2.153,,Cots,False,,,Anthony,Bender
Codi Heuer,2024,CHN,rhp,4.0,,Cots,False,True,False,Codi,Heuer
Lucas Gilbreath,2024,COL,lhp,2.148,,Cots,False,,,Lucas,Gilbreath
Elieser Hernández,2024,NYN,rhp,5.044,,Cots,False,False,True,Elieser,Hernández
Matt Foster,2024,CHA,rhp,3.093,,Cots,False,,,Matt,Foster
Casey Mize,2024,DET,rhp-s,3.111,,Cots,False,,,Casey,Mize
J.P. Feyereisen,2024,LAN,rhp,3.108,,Cots,False,,,J.P.,Feyereisen
Vladimir Gutierrez,2024,CIN,rhp,2.127,,Cots,False,,,Vladimir,Gutierrez
Justin Dunn,2024,CIN,rhp,4.02,,Cots,False,,,Justin,Dunn
